ID,AvatarLevel,Gold,Gems,Purchases,TotalPlay,TotalWon,TotalLost,FirstInstallDate,VipLevel,LastSeenDate,Cards_collected,Card_score,Overall_progress,TotalStars
usr000003,148,90026376,16495,"{'starter_3': 1, 'gem_4': 2, 'gem_5': 2, 'prog_32': 1, 'starter_2': 1, 'daily_7': 1, 'gem_sub_1': 12, 'starter_1': 1, 'prog_40': 1, 'prog_42': 1, 'timed_n_2_1': 4, 'prog_45': 1, 'prog_50': 1, 'timed_d_1_3': 1, 'timed_k_1_4': 1, 'prog_60': 1, 'prog_61': 1, 'timed_g_1_2': 1, 'prog_65': 1, 'timed_j_1_4': 1, 'timed_g_1_6': 1, 'timed_g_1_8': 1, 'prog_78': 1, 'gem_3': 1, 'special_4': 1, 'timed_f_2_2': 1, 'prog_100_1': 1, 'timed_f_3_2': 1}",26331,18680,1088,2020-05-11 20:08:14+00:00,13,2024-03-29 06:27:46.465000+00:00,0.870618322926334,1.2613982271559108,0.8617032028122255,6665.0
usr000004,151,557911,522,"{'gem_sub_1': 44, 'starter_2': 1, 'prog_s_1': 1, 'starter_1': 1, 'prog_10': 1, 'prog_15': 1, 'starter_3': 1, 'timed_n_2_1': 2, 'prog_25': 1, 'gem_5': 3, 'prog_32': 1, 'timed_d_1_7': 1, 'prog_35': 1, 'prog_40': 1, 'prog_42': 1, 'daily_1': 1, 'prog_45': 1, 'prog_47': 1, 'gem_4': 2, 'timed_c_2_6': 1, 'timed_c_2_5': 1, 'timed_c_2_1': 1, 'gem_3': 6, 'gem_1': 4, 'prog_50': 1, 'prog_55': 1, 'prog_57': 1, 'special_4': 1, 'prog_60': 1, 'special_5': 1, 'prog_65': 1, 'prog_68': 1, 'prog_70': 1, 'gem_2': 3, 'prog_72': 1, 'prog_74': 1, 'prog_75': 1, 'prog_78': 1, 'prog_79': 1, 'timed_n_3_4': 4, 'timed_n_3_5': 3, 'timed_n_3_2': 1, 'prog_80': 1, 'prog_81': 1, 'prog_82': 1, 'prog_83': 1, 'timed_k_2_2': 1, 'prog_84': 1, 'prog_85': 1, 'prog_86': 1, 'prog_87': 1, 'prog_88': 1, 'prog_89': 1, 'timed_c_3_5': 1, 'prog_90': 1, 'clan_2': 3, 'prog_94_1': 1, 'timed_f_3_7': 5, 'prog_99_1': 1, 'prog_100_1': 1, 'timed_a_3_2': 1, 'timed_h_3_6': 1, 'timed_h_3_2': 1, 'timed_n_4_1': 2, 'timed_b_1_5': 5, 'timed_b_1_3': 1, 'timed_e_1_3': 1, 'timed_c_4_5': 1, 'timed_c_4_1': 1, 'timed_q_4_4': 5, 'timed_q_4_2': 2, 'timed_f_4_4': 1, 'timed_a_4_4': 3, 'timed_a_4_5': 5, 'timed_b_2_15': 1, 'timed_h_4_2': 3, 'timed_g_3_2': 5, 'timed_m_1_13': 7, 'timed_m_1_14': 1, 'timed_q_5_4': 5, 'timed_q_5_2': 1, 'timed_q_5_5': 3, 'timed_f_5_7': 5, 'timed_f_5_5': 1, 'timed_f_5_4': 2, 'timed_p_4_3': 1, 'timed_a_5_4': 3, 'timed_i_4_4': 3, 'timed_i_4_3': 1}",35611,30595,30,2020-07-06 20:59:12+00:00,17,2024-04-12 07:30:53.446000+00:00,0.8937404827766414,1.73741370800533,0.7488516113516115,5787.0
usr000005,115,29066432,2992,"{'starter_1': 1, 'timed_l_0_1': 1, 'gem_sub_1': 8, 'clan_1': 1}",17447,11441,2417,2018-07-10 22:28:21+00:00,5,2024-04-12 00:36:24.315000+00:00,0.8765903336547038,0.9330933766632927,0.7646019721019721,5779.0
usr000007,31,686972,425,"{'gem_sub_1': 2, 'prog_15': 1, 'starter_1': 1, 'gem_1': 1, 'timed_j_4_4': 1, 'gem_2': 1, 'timed_b_2_10': 1, 'prog_27': 1, 'timed_g_3_2': 1}",972,839,40,2020-05-28 19:18:28+00:00,4,2024-03-17 18:18:49.108000+00:00,0.3570550594835846,0.26876024556313427,0.11122975789642456,745.0
usr000008,141,189894976,646,{},32500,22662,2152,2018-09-04 02:43:05+00:00,0,2024-04-12 05:55:11.457000+00:00,0.8908312534352109,1.0117675630001393,0.3717703349282297,2703.0
usr000009,89,129385,924,{},11206,8524,821,2020-05-05 06:28:55+00:00,0,2024-04-11 20:59:56.881000+00:00,0.626966517394556,1.131154476110956,0.6400520655567977,4996.0
usr000011,111,9168942,4749,{},14960,9693,1768,2020-07-02 06:15:54+00:00,0,2024-04-12 08:38:47.337000+00:00,0.7617701960360296,0.6945193057595407,0.8693771692621758,6741.0
usr000013,135,28164656,5788,"{'starter_1': 1, 'special_5': 1}",28587,20954,505,2020-05-22 06:03:34+00:00,1,2024-04-12 08:01:21.017000+00:00,0.850830757863817,1.4523592051635534,0.8169492281471091,6452.0
usr000014,33,9949875,5342,{},982,934,25,2021-06-24 00:00:00+00:00,0,2024-04-05 05:34:37.132000+00:00,0.5393509966991942,0.36187688404730656,0.16436710956191472,983.0
usr000015,46,3728989,1325,{},2775,2100,145,2020-06-22 16:37:08+00:00,0,2024-03-27 06:24:16.488000+00:00,0.42277308236396566,0.33314411516478504,0.23616234306812972,1447.0
