ID,AvatarLevel,Gold,Gems,Purchases,VipLevel,TotalPlay,TotalWon,TotalLost,FirstInstallDate,LastSeenDate,Card_score,TotalStars,Overall_progress
usr088192,100,2034300,60,{'starter_2': 4},5,7,7,0,2024-03-28,2024-03-28,0.0060536398467432948,15,0.0064935064935064939
usr098446,100,2033350,60,{'starter_2': 4},5,7,6,0,2024-03-28,2024-03-28,0.0060536398467432948,15,0.0064935064935064939
usr085406,61,206999174,89177,{},20,20,19,0,2023-12-22,2024-04-10,0.018480798360509667,51,0.020562770562770564
usr052975,29,655679,17460,"{'gem_sub_1': 1, 'gem_sub_2': 1}",5,856,846,2,2024-01-02,2024-03-28,0.018862163074024347,171,0.03610389610389611
usr017480,36,3746320,11710,{},0,3342,3341,0,2024-03-22,2024-03-25,0.019253324082667316,126,0.031168831168831169
usr070076,70,54363300,91377,"{'starter_3': 2, 'starter_2': 2, 'starter_1': 3, 'gem_5': 4, 'gem_4': 2, 'gem_3': 2, 'gem_2': 2, 'gem_1': 4, 'timed_h_1_1': 1, 'timed_h_1_2': 1, 'timed_h_1_3': 1, 'timed_h_1_4': 1, 'timed_h_1_5': 1, 'timed_h_1_6': 1, 'timed_n_2_1': 1, 'timed_n_2_2': 1, 'timed_j_1_1': 1, 'timed_j_1_2': 1, 'timed_j_1_3': 1, 'timed_j_1_4': 1, 'timed_g_2_5': 1, 'timed_g_2_6': 1, 'timed_g_2_7': 1, 'timed_g_2_8': 1, 'gem_sub_1': 2, 'timed_p_3_2': 1, 'timed_p_3_1': 1, 'timed_p_3_3': 1, 'prog_10': 1, 'prog_s_3': 1, 'daily_7': 1, 'daily_9': 1, 'timed_i_3_1': 1}",16,215,199,2,2020-07-16,2024-04-12,0.025211018304104636,562,0.10452961672473868
usr063431,22,1397741,2496,{'gem_sub_1': 1},1,468,432,30,2024-03-23,2024-04-04,0.027512802261006941,394,0.063760954492661823
usr102326,25,10822061,20441,"{'starter_3': 1, 'gem_sub_1': 2, 'clan_1': 1, 'gem_1': 3, 'timed_n_0_1': 2, 'timed_n_0_4': 1, 'timed_n_0_5': 1, 'timed_n_0_2': 1, 'timed_n_0_3': 1, 'timed_n_5_1': 1, 'timed_n_5_2': 1, 'timed_n_5_3': 1, 'timed_n_5_4': 1, 'timed_n_5_5': 1, 'starter_1': 1, 'timed_b_2_1': 1}",10,33,32,0,2023-04-25,2024-01-29,0.0292739979196013,96,0.031168831168831169
usr044016,30,12236170,3320,{},0,2093,2083,4,2021-12-02,2024-03-02,0.039923141382013458,112,0.030735930735930735
usr109714,34,14579036,6259,"{'starter_1': 1, 'gem_sub_1': 1, 'starter_2': 1, 'prog_20': 1}",5,881,864,5,2024-03-25,2024-04-12,0.040699566600290137,1962,0.25714285714285717
